"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"10349","然之(#11)","现金记账(#194)","","签退功能验证","已登录","1. 点击右下角的签退
","1. 退出登录，返回登录页面
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10348","然之(#11)","现金记账(#194)","","考勤状态跳转功能验证","已登录，右下角出现考勤状态框","1. 点击考勤状态框，标有下划线的字
","1. 跳转到考勤界面
","","","3","功能测试","","正常","0","2","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10347","然之(#11)","现金记账(#194)","","同名区块添加验证","已登录，进入现金记账首页页面，存在区块类型为账目，名称为账目","1. 点击添加区块
2. 选择与已添加区块的同种类型账目
3. 选择与任意一个已添加区块相同名字账目
4. 点击保存
","1. 出现选择添加区块操作框
2. 出现区块信息设置
3. 
4. 提示保存成功，返回首页页面，出现添加区块账目
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-06","2","",""
"10346","然之(#11)","现金记账(#194)","","首页区块的更多功能验证","已登录，进入现金记账首页页面，存在区块","1. 点击任意区块右边的更多
","1. 跳转到对应区块信息的页面
","","","3","功能测试","","正常","0","2","1","通过","杨凯静","2018-12-01","杨凯静","2018-12-06","1","",""
"10345","然之(#11)","现金记账(#194)","","首页区块的刷新功能验证","已登录，进入现金记账首页页面，存在区块","1. 点击任意区块右边的刷新标志
","1. 信息进行刷新
","","","3","功能测试","","正常","0","2","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10344","然之(#11)","现金记账(#194)","","首页区块的删除功能验证","已登录，进入现金记账首页页面，存在区块","1. 点击任意区块右边的倒三角标志
2. 点击删除
3. 确认删除
","1. 出现下拉菜单
2. 出现是否确认删除操作框
3. 成功删除区块
","","","3","功能测试","","正常","0","2","3","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10343","然之(#11)","现金记账(#194)","","首页区块的编辑功能验证","已登录，进入现金记账首页页面，存在区块类型为账目，名字为账目","1. 点击区块右边的倒三角标志
2. 点击编辑
3. 对区块的名称修改为账目一
4. 点击保存
","1. 出现下拉菜单
2. 出现编辑操作框
3. 
4. 提示保存成功，返回首页页面，区块名称发生变化
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-06","2","",""
"10342","然之(#11)","现金记账(#194)","","首页多次添加区块功能验证","已登录，进入现金记账首页页面","1. 点击添加区块
2. 选择付款账号、账目、收支概况，供应商、报表任意一项
3. 点击保存
4. 重复上述三个步骤十次
","1. 出现选择添加区块操作框
2. 出现区块信息设置
3. 提示保存成功，返回首页页面，出现添加区块
4. 所添加区块全部成功
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-09","2","",""
"10341","然之(#11)","现金记账(#194)","","首页添加区块功能验证","已登录，进入现金记账首页页面","1. 点击添加区块，选择付款账号、账目、收支概况，供应商、报表任意一项，点击保存
2. 点击添加区块，选择区块为空
","1. 出现选择添加区块操作框，出现区块信息设置，提示保存成功，返回首页页面，出现添加区块
2. 出现选择添加区块操作框，区块显示为空，没有任何变化不能继续设置添加
","1. 
2. 
","","3","功能测试","","正常","1","1","2","失败","杨凯静","2018-12-01","杨凯静","2018-12-09","3","",""
"10340","然之(#11)","现金记账(#194)","","供应商信息删除功能验证","已登录，进入现金记账供应商页面，存在供应商信息，","1. 点击任意一个供应商信息右边的删除
2. 确认删除
","1. 出现是否确认删除操作框
2. 信息删除
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-12-01","杨凯静","2018-12-09","2","",""
"10339","然之(#11)","现金记账(#194)","","供应商信息编辑功能验证","已登录，进入现金记账供应商页面，存在供应商信息编号为7，名称为olm1，添加时间为2018-12-01","1. 点击供应商信息的编辑，修改供应商名称为olm，点击保存
2. 点击任意一个供应商信息的编辑，修改供应商名称为空，点击保存
","1. 跳转到编辑供应商页面，提示保存成功，跳转到供应商详情页面,名称变为olm
2. 跳转到编辑供应商页面，提示名称不能为空
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10338","然之(#11)","现金记账(#194)","","供应商联系人设置删除功能验证","已登录，进入现金记账供应商页面任意供应商的联系人操作框，现金记账供应商页面存在供应商信息编号为7，名称为olm，并且供应商信息内存在多个联系人222、333","1. 点击任意一个联系人右边的删除
2. 确认删除
","1. 出现是否确认删除操作框
2. 信息删除
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-12-01","杨凯静","2018-12-09","2","",""
"10337","然之(#11)","现金记账(#194)","","供应商联系人设置新建功能验证","已登录，进入现金记账供应商页面任意供应商的联系人操作框，存在供应商信息，供应商信息存在联系人222","1. 点击新建，不勾选选择已有联系人，输入联系人名称111，性别男，邮箱123456@qq.com,手机12311111111,电话88011111,QQ12456，点击保存
2. 点击新建，勾选选择已有联系人，选择联系人222，性别男，邮箱123456@qq.com,手机12311111111,电话88011111,QQ12456，点击保存
3. 点击新建，勾选选择已有联系人，输入联系人名称111，性别男，邮箱123456@qq.com,手机12311111111,电话8801,QQ12456，点击保存
4. 点击新建，勾选选择已有联系人，输入联系人名称111，性别男，邮箱123456,手机12311111111,电话88011111,QQ12456，点击保存
5. 点击新建，不勾选选择已有联系人,不输入联系人信息，点击保存
","1. 出现联系人添加操作框，显示联系人信息，提示保存成功，返回联系人编辑操作框，显示添加联系人信息
2. 出现联系人添加操作框，显示联系人信息，提示保存成功，返回联系人编辑操作框，显示添加联系人信息
3. 出现联系人添加操作框，显示联系人信息，提示电话长度应当不超过20，且不小于7
4. 出现联系人添加操作框，显示联系人信息，提示邮箱地址不规范
5. 提示真实姓名不能为空
","","","3","功能测试","","正常","0","3","5","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","4","",""
"10336","然之(#11)","现金记账(#194)","","供应商联系人编辑功能验证","已登录，进入现金记账供应商页面，供应商olm存在联系人信息真实名称为000的信息，邮箱电话QQ为空","1. 点击供应商名称为olm的右边的联系人，点击联系人000的编辑，修改真实姓名为0000，点击保存
2. 点击供应商名称为olm的右边的联系人，点击联系人000意编辑，修改基本信息里的所属客户为客户下拉框的任意一个，点击保存
3. 点击供应商名称为olm的右边的联系人，点击联系人000编辑，修改基本信息里的真实姓名或者所属客户为空，点击保存
4. 点击供应商名称为olm的右边的联系人，点击联系人000编辑，修改基本信息里的电话为123，点击保存
","1. 出现编辑联系人操作框，提示保存成功，返回联系人设置框
2. 出现编辑联系人操作框，提示保存成功，返回联系人设置框
3. 出现编辑联系人操作框，提示真实姓名或所属客户不能为空
4. 出现编辑联系人操作框，提示电话长度应当不超过20，且不小于7
","","","3","功能测试","","正常","0","2","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-09","4","",""
"10335","然之(#11)","现金记账(#194)","","供应商联系人设置跳转功能验证","已登录，进入现金记账供应商页面，存在供应商信息","1. 点击任意供应商信息右侧的联系人
","1. 出现编辑联系人操作框
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10334","然之(#11)","现金记账(#194)","","供应商沟通信息添加","已登录，进入现金记账供应商页面，存在供应商信息名称为olm,其余信息为空，存在联系人222，不存在联系人刘鑫","1. 点击olm供应商信息右边的沟通，不勾选新建，选择联系人222，输入沟通内容初步成果，点击保存
2. 点击olm供应商信息右边的沟通，勾选新建，输入联系人刘鑫和沟通内容第一阶段详谈失败，点击保存
3. 点击olm供应商信息右边的沟通，不勾选新建，不选择联系人，输入沟通内容11111111，点击保存
4. 点击olm供应商信息右边的沟通，输入联系人，不输入沟通内容，点击保存
5. 点击olm供应商信息右边的沟通，不勾选新建，选择联系人222，输入沟通内容初步成果，点击附件的选择文件，选择一个不超过32M的文件，点击保存
6. 点击olm供应商信息右边的沟通，不勾选新建，选择联系人222，输入沟通内容初步成果，点击附件的选择文件，选择一个超过32M的文件，点击保存
","1. 出现沟通信息添加操作框，提示保存成功，返回供应商页面
2. 出现沟通信息添加操作框，提示保存成功，返回供应商页面
3. 出现沟通信息添加操作框，提示联系人不能为空
4. 出现沟通信息添加操作框，提示保存沟通内容不能为空
5. 出现沟通信息添加操作框，出现选择附件窗口，提示保存成功，返回供应商页面
6. 出现沟通信息添加操作框，出现选择附件窗口，提示文件大小已经超过限制，不能成功上传！
","","","3","功能测试","","正常","0","2","6","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10333","然之(#11)","现金记账(#194)","","供应商信息添加功能验证","已登录，进入现金记账供应商页面","1. 点击添加供应商，输入联系人王猛，点击保存
2. .点击添加供应商，不输入联系人，点击保存
","1. 跳转到供应商信息添加页面，提示保存成功，返回供应商页面，出现添加信息
2. 跳转到供应商信息添加页面，提示联系人不能为空
","","","3","功能测试","","正常","0","3","2","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","3","",""
"10332","然之(#11)","现金记账(#194)","","供应商列表类名添加验证","已登录，进入现金记账供应商页面类目添加页面","1. 点击类目输入框，输入类目名称ssss，点击保存
2. 点击类目输入框，输入类目名称#，点击保存
3. 点击类目输入框，输入类目名称123，点击保存
4. 点击类目输入框，输入类目名称，重复十次，点击保存
","1. 提示保存成功，出现类目层次显示框，出现添加类目名称
2. 提示保存成功，出现类目层次显示框，出现添加类目名称
3. 提示保存成功，出现类目层次显示框，出现添加类目名称
4. 提示保存成功，出现类目层次显示框，出现添加类目名称
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10331","然之(#11)","现金记账(#194)","","供应商列表类名功能跳转验证","已登录，进入现金记账供应商页面","1. 点击维护类目
","1. 跳转到类目添加页面
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10330","然之(#11)","现金记账(#194)","","搜索功能保存搜索信息的查询验证","已登录，进入现金记账页面，进入所有、收入、支出、转账、投资、借贷、供应商任意界面的搜索设置框，存在多年账户信息及收入支出等变动信息，存在保存过的搜索信息","1. 点击我的查询
2. 选择任意搜索信息名称
","1. 出现搜索信息名称选择
2. 出现选择的查询结果
","1. 
2. 
","","3","功能测试","","正常","1","1","2","失败","杨凯静","2018-12-01","杨凯静","2018-12-08","3","",""
"10329","然之(#11)","现金记账(#194)","","搜索功能保存搜索信息删除验证","已登录，进入现金记账页面，进入所有、收入、支出、转账、投资、借贷、供应商任意界面的搜索设置框，存在多年账户信息及收入支出等变动信息，存在保存过得搜索信息","1. 点击我的查询
2. 选择任意一个查询名称
3. 点击我的查询旁边的×
","1. 出现我的查询下拉菜单
2. 出现查询名称
3. 我的查询对应信息删除成功
","1. 
2. 
3. 
","","3","功能测试","","正常","1","1","3","失败","杨凯静","2018-12-01","杨凯静","2018-12-08","3","",""
"10328","然之(#11)","现金记账(#194)","","搜索功能保存验证","已登录，进入现金记账页面，进入所有、收入、支出、转账、投资、借贷、供应商任意界面的搜索设置框，存在多年账户信息及收入支出等变动信息","1. 设置搜索条件账号=123， 点击保存，设置保存名称123，点击我的查询
2. 设置搜索条件账号=122， 点击保存，不设置保存名称
","1. 显示搜索条件，出现查询条件设置框，我的查询中出现保存查询条件名123
2. 显示搜索条件，出现查询条件设置框，我的查询中没有出现保存查询条件名
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10327","然之(#11)","现金记账(#194)","","搜索功能重置验证","已登录，进入现金记账页面，进入所有、收入、支出、转账、投资、借贷、供应商任意界面的搜索设置框，存在多年账户信息及收入支出等变动信息","1. 设置搜索条件账号=123
2. 点击重置
","1. 显示搜索条件
2. 设置条件消失
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10326","然之(#11)","现金记账(#194)","","搜索功能验证","已登录，进入现金记账页面，存在多年账户信息及收入支出等变动信息","1. 点击所有、收入、支出、投资、借贷、转账任意一个记账设置
2. 点击搜索
3. 设置搜索条件账号=123
4. 点击搜索
","1. 跳转到对应的页面
2. 出现搜索条件设置框
3. 显示设置的条件账号=123
4. 出现搜索结果
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10325","然之(#11)","现金记账(#194)","","搜索的时间选择功能验证","已登录，进入现金记账页面，存在多年账户信息及收入支出等变动信息","1. 点击所有、收入、支出、投资、借贷、转账任意一个记账设置
2. 选择年份2018
3. 选择月份十一月
","1. 跳转到对应的页面
2. 显示选择年份2018
3. 显示对应月份十一月，出现在查找时间内的账号信息
","","","3","功能测试","","正常","0","1","3","阻塞","杨凯静","2018-12-01","杨凯静","2018-12-08","3","",""
"10324","然之(#11)","现金记账(#194)","","报表单位设置","已登录，进入现金记账报表页面，存在多年账户信息及收入支出等变动信息，报表单位为元","1. 点击报表单位
2. 选择报表单位千元
3. 点击保存
4. 点击任意一种报表
","1. 出现报表单位选择框
2. 显示选择单位千元
3. 提示保存成功
4. 报表单位改变为千元
","","","3","功能测试","","正常","0","1","4","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10323","然之(#11)","现金记账(#194)","","账号盈亏表生成功能验证","已登录，进入现金记账报表页面，存在多年账户信息及收入支出等变动信息","1. 点击账号盈亏表,选择年份2018,修改报表名字为2018账号盈亏表,选择报表文件格式xls,点击导出
2. 点击账号盈亏表,选择年份2018,修改报表名字为空,选择报表文件格式xls,点击导出
","1. 弹出年度盈亏表操作框,显示选择年份2018,显示报表名称账号盈亏表,显示报表文件格式xls,导出文件2018账号盈亏表
2. 弹出年度盈亏表操作框,显示选择年份2018,显示报表名称为空,显示报表文件格式xls,导出文件账号盈亏表
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","3","",""
"10322","然之(#11)","现金记账(#194)","","年度对比表生成功能验证","已登录，进入现金记账报表页面，存在2018年和2017年的账户信息及收入支出等变动信息","1. 点击年度对比表
2. 选择对应的几个年份2018、2017
3. 选择货币类型人民币
4. 选择货币单位千元
5. 点击生成报表
","1. 跳转到年度报表对比页面
2. 对应年份2017、2018已经勾选
3. 显示选择的货币类型人民币
4. 现实选择的货币单位千元
5. 生成年度对比表
","","","3","功能测试","","正常","0","1","5","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10321","然之(#11)","现金记账(#194)","","年度收支表功能验证","已登录，进入现金记账页面，存在2018年的账户信息以及账户的收入支出信息，不存在2015年的账户信息以及账户的收入支出信息","1. 点击报表，选择有交易信息的左侧年份2018，选择货币类型人民币，选择货币单位千元
2. 点击报表，选择没有交易信息的左侧年份2015，选择货币类型，选择货币单位
","1. 出现报表页面，出现在查询时间内的报表信息
2. 出现报表页面，没有出现在查询时间内的报表信息
","1. 
2. 
","","3","功能测试","","正常","1","1","2","失败","杨凯静","2018-12-01","杨凯静","2018-12-08","3","",""
"10320","然之(#11)","现金记账(#194)","","对账页面明细功能验证","已登录，已经在现金记账对账页面对所有账号进行对账操作","1. 点击任意对账账号明细
","1. 出现对应账号的交易信息
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-12-01","","0000-00-00","1","",""
"10319","然之(#11)","现金记账(#194)","","对账页面余额登记功能验证","已登录，已经在现金记账对账页面对所有账号进行对账操作，其中有对账成功和不符的账号信息","1. 点击对账成功账号的登记余额，点击菜单栏上的账户
2. 点击对账不成功账号的登记余额，点击菜单栏上账户
","1. 提示保存成功，对账页面的账户对账结果变为对账成功，账户页面账户的登记余额和计算余额改变
2. 提示保存成功，对账页面的账户对账结果变为对账成功，账户页面账户的登记余额和计算余额改变
","1. 
2. 
","","3","功能测试","","正常","1","1","2","失败","杨凯静","2018-12-01","杨凯静","2018-12-04","2","",""
"10318","然之(#11)","现金记账(#194)","","对账功能结果不正确验证","已登录，进入现金记账对账页面，账户列表里有账号，账号上有多条登记余额，且收入支出中没有相对应余额的收入支出信息，日期在2018-11-27到2018-12-03","1. 选择账号
2. 选择账号的开始日期和截止日期2018-11-27到2018-12-03
3. 点击对账
","1. 
2. 
3. 出现对应账号的对账信息，信息中计算余额与实际余额不相等，结果显示超出或者低于实际余额和差值
","","","3","功能测试","","正常","0","2","3","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","3","",""
"10317","然之(#11)","现金记账(#194)","","对账功能结果正确验证","已登录，进入现金记账对账页面，账户列表里有账号，账号上有多条登记余额，且收入支出中有相对应余额的收入支出信息，日期在2018-11-27到2018-12-03","1. 选择账号
2. 选择账号的开始日期和截止日期日期在2018-11-27到2018-12-03
3. 点击对账
","1. 
2. 
3. 出现对应账号的对账信息，信息中计算余额与实际余额相等，结果显示对账成功
","","","3","功能测试","","正常","0","1","3","通过","杨凯静","2018-12-01","杨凯静","2018-12-08","2","",""
"10306","然之(#11)","现金记账(#194)","","没有记账设置权限的借贷信息编辑验证","已登录，进入现金记账借贷界面，有借贷信息交易时间为2018-11-30，账号为公司，交易为借贷，金额为￥222	，经手人为admin，状态为未还贷，没有设置记账设置权限","1. 点击编辑，点击保存
2. 点击编辑，修改金额为空，点击保存
3. 点击编辑，修改金额为aaa，点击保存
4. 点击编辑，修改经手人为空，点击保存
5. 点击编辑，修改交易时间为2018-11-28，点击保存
6. 点击编辑，修改截止日期为2018-11-20，点击保存
7. 点击编辑，修改交易时间为aaa，点击保存，点击交易时间输入框
8. 点击编辑，点击上传文件的选择文件，选择超过32M的文件，点击确定
","1. 跳转到编辑页面，提示保存成功，返回借贷界面
2. 跳转到编辑页面，提示金额不能为空
3. 跳转到编辑页面，提示保存成功，返回借贷界面，金额显示为0
4. 跳转到编辑页面，提示经手人不能为空
5. 跳转到编辑页面，提示保存成功，返回借贷界面
6. 跳转到编辑页面，提示保存成功，返回借贷界面,，显示截至日期为2018-11-20
7. 跳转到编辑页面,出现选择日期框，选择日期框消失，提示截止日期应当为合法的日期。
8. 跳转到编辑页面，出现选择文件窗口，提示文件大小已经超过限制，不能成功上传，文件没有上传
","","","3","功能测试","","正常","0","1","8","通过","杨凯静","2018-11-30","杨凯静","2018-12-08","4","",""
"10305","然之(#11)","现金记账(#194)","","借贷信息添加","已登录，进入现金记账借贷界面，有账号信息123、456,经手人有admin","1. 点击借贷，选择账号123，添加金额111，选择经手人admin与日期2018-11-18，点击保存
2. 点击借贷，选择账号为空，添加金额111，选择经手人admin与日期2018-11-18，点击保存
3. 点击借贷，选择账号456，不添加金额，选择经手人admin与日期2018-11-18，点击保存
4. 点击借贷，选择账号456，添加金额aaa，选择经手人admin与日期2018-11-18，点击保存
5. 点击借贷，选择账号456，添加金额安安，选择经手人admin与日期2018-11-18，点击保存
6. 点击借贷，选择账号456，添加金额#，选择经手人admin与日期2018-11-18，点击保存
7. 点击借贷，选择账号456，添加金额111，不选择经手人，选择日期2018-11-18，点击保存
8. 点击借贷，选择账号123，添加金额111，选择经手人admin与输入日期aaa，点击保存，点击交易时间输入框
","1. 跳转到借贷信息添加界面，提示保存成功，返回到借贷界面，显示出添加信息
2. 跳转到借贷信息添加界面，提示账号不能为空
3. 跳转到借贷信息添加界面，提示金额不能为空
4. 跳转到借贷信息添加界面，提示保存成功，返回借贷页面，显示金额为0
5. 跳转到借贷信息添加界面，提示保存成功，返回借贷页面，显示金额为0
6. 跳转到借贷信息添加界面，提示保存成功，返回借贷页面，显示金额为0
7. 跳转到借贷信息添加界面，提示经手人不能为空
8. 跳转到借贷信息添加界面，出现时间选择框，时间选择框消失，提示交易时间应当为合法的日期
","","","3","功能测试","","正常","0","1","8","通过","杨凯静","2018-11-30","杨凯静","2018-12-08","2","",""
"10304","然之(#11)","现金记账(#194)","","投资信息删除功能验证","已登录，进入现金记账投资页面，存在账户投资信息","1. 点击删除，确认删除
2. 点击删除，取消删除
","1. 出现是否确认删除选择框，信息删除
2. 出现是否确认删除选择框，信息没有删除
","","","3","功能测试","","正常","0","1","2","通过","杨凯静","2018-11-30","","0000-00-00","1","",""
"10303","然之(#11)","现金记账(#194)","","投资信息明细功能验证","已登录，进入现金记账投资页面，存在账户投资信息交易时间为2018-12-09，账号为asd，交易为投资，金额为￥100，经手人为admin，状态为未赎回，记账时间为2018-12-09","1. 点击明细，点击保存
2. 点击明细，点击+，添加与投资金额相同的金额100，添加说明，点击保存
3. 点击明细，点击×，点击保存
4. 点击明细，点击+，添加与投资信息不同的金额111，点击保存，点击确定
","1. 出现明细编辑框，提示保存成功，返回投资页面信息无变化
2. 出现明细编辑框，提示保存成功，返回投资页面信息有变化
3. 出现明细编辑框，选中明细删除，提示保存成功，返回投资页面信息无变化
4. 出现明细编辑框，提示金额与当前交易金额不相等是否确定，提示保存成功，返回投资页面信息有变化
","","","3","功能测试","","正常","0","1","4","阻塞","杨凯静","2018-11-30","杨凯静","2018-12-09","3","",""
"10302","然之(#11)","现金记账(#194)","","投资信息编辑验证","已登录，记账设置中没有勾选任何权限,进入现金记账投资页面，存在账户投资信息交易时间为2018-12-09，账号为asd，交易为投资，金额为￥100，经手人为admin，状态为未赎回，记账时间为2018-12-09，存在账号asd、123","1. 点击编辑，点击保存
2. 点击编辑，修改账号为123，点击保存
3. 点击编辑，修改金额为空，点击保存
4. 点击编辑，修改金额为一百，点击保存
5. 点击编辑，修改金额为#，点击保存
6. 点击编辑，修改金额为one，点击保存
7. 点击编辑，修改经手人为空，点击保存
8. 点击编辑，修改交易时间为空，点击保存，点击任意空白处
9. 点击编辑，修改交易时间为aaa，点击保存，点击任意空白处
10. 点击编辑，修改交易时间为日期，点击保存，点击任意空白处
","1. 跳转到编辑页面，提示保存成功
2. 跳转到编辑页面，提示保存成功
3. 跳转到编辑页面，提示金额不能为空
4. 跳转到编辑页面，提示保存成功，返回投资页面，金额变为0
5. 跳转到编辑页面，提示保存成功，返回投资页面，金额变为0
6. 跳转到编辑页面，提示保存成功，返回投资页面，金额变为0
7. 跳转到编辑页面，提示经手人不能为空
8. 跳转到编辑页面，出现时间选择框，提示交易时间不能为空
9. 跳转到编辑页面，出现时间选择框，提示交易时间不能为空
10. 跳转到编辑页面，出现时间选择框，提示交易时间不能为空
","","","3","功能测试","","正常","0","2","10","通过","杨凯静","2018-11-30","杨凯静","2018-12-09","4","",""
"10301","然之(#11)","现金记账(#194)","","投资信息查看验证","已登录，进入现金记账投资页面，存在账户投资信息","1. 点击查看
","1. 跳转到详情页面，出现相关信息
","","","3","功能测试","","正常","0","1","1","通过","杨凯静","2018-11-30","","0000-00-00","1","",""
