"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"11518","然之(#11)","探索式--现金记账(#370)","","（配角）探索交易信息的查看功能","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的交易信息","1. 探索交易信息的查看功能，点击交易信息的查看功能，以图发现查看功能能否正确进行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11516","然之(#11)","探索式--现金记账(#370)","","（快递）探索账号信息与交易信息的关联","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的交易信息","1. 探索账号信息与交易信息的关联，删除或编辑账号的信息，以图查看对应的交易信息是否存在或改变
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","1","",""
"11515","然之(#11)","探索式--现金记账(#370)","","（快递）探索导入模板与导入模板设置的关联","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的导入的交易信息","1. 删除现金记账设置页面的导入模板设置的模板，查看导入的交易信息是否存在
2. 编辑现金记账设置页面的导入模板设置的模板，查看导入的交易信息是否改变
","1. 
2. 
","","","3","其他","","正常","0","1","2","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","1","",""
"11514","然之(#11)","探索式--现金记账(#370)","","（快递）探索客户管理的联系人信息对现金记账供应商的关联","已登录，客户管理存在联系人信息，现金记账供应商页面供应商信息存在客户管理的联系人","1. 点击客户管理，点击联系人，点击联系人的更多，点击删除，点击现金记账，点击供应商，点击对应的供应商信息的联系人，以图发现对应的供应商信息的联系人是否存在
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11513","然之(#11)","探索式--现金记账(#370)","","(快递)探索记账数据的关联作用","已登录，现金记账页面菜单栏的收入、支出、转账、投资、借贷页面都有对应的交易信息","1. 探索交易数据的关联，对交易信息进行编辑或删除，以图发现首页的交易信息是否同步改变
2. 探索交易数据的关联，对交易信息进行编辑或删除，以图发现对账页面的相关信息是否同步改变
3. 探索交易数据的关联，对交易信息进行编辑或删除，以图发现报表的相关信息是否同步改变
","1. 
2. 
3. 
","","","3","其他","","正常","0","1","3","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11512","然之(#11)","探索式--现金记账(#370)","","（极限）对设置页面的收入或支出的科目添加数量验证","","1. 探索设置页面的收入或支出的科目添加数量，添加不同数量的收入或支出科目名称，以图发现科目能否添加
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11511","然之(#11)","探索式--现金记账(#370)","","（极限）对添加记账信息操作流验证","","1. 探索添加记账信息操作流，使用浏览器动作刷新，以图发现信息能否添加
2. 探索添加记账信息操作流，使用浏览器动作返回，以图发现信息能否添加
3. 探索添加记账信息操作流，使用浏览器动作书签，以图发现信息能否添加
4. 探索添加记账信息操作流，使用浏览器动作表单提交，以图发现信息能否添加
","1. 
2. 
3. 
4. 
","","","3","其他","","正常","0","1","4","通过","杨凯静","2018-12-15","杨凯静","2018-12-20","2","",""
"11510","然之(#11)","探索式--现金记账(#370)","","(极限)对保存按钮的测试","","1. 探索保存，点击保存后切断网络，以图发现信息能否保存
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-15","","0000-00-00","1","",""
"11402","然之(#11)","探索式--现金记账(#370)","","（地标）探索横向菜单栏","","1. 探索横向菜单栏，依次点击横向菜单栏地标，以图发现地标间能否正常切换
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","3","",""
"11401","然之(#11)","探索式--现金记账(#370)","","（卖点）探索报表功能","","1. 探索现金记账报表页面，选择年度收支表，以图发现是否生成报表
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11400","然之(#11)","探索式--现金记账(#370)","","（卖点）探索对账功能","","1. 探索现金记账对账页面，按照账号、开始日期、截止日期进行选择对账，以图发现是否成功对账
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","","0000-00-00","1","",""
"11399","然之(#11)","探索式--现金记账(#370)","","（卖点）探索借贷功能","","1. 探索现金记账借贷页面的借贷或还贷按钮，按照添加借贷或还贷输入框顺序进行添加保存，以图发现是否添加信息成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","","0000-00-00","1","",""
"11398","然之(#11)","探索式--现金记账(#370)","","卖点）探索投资或赎回功能","","1. 探索现金记账投资页面的投资或赎回按钮，按照添加投资或赎回输入框顺序进行添加保存，以图发现是否添加信息成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","","0000-00-00","1","",""
"11397","然之(#11)","探索式--现金记账(#370)","","卖点）探索转账功能","存在账户信息","1. 探索现金记账转账页面的转账按钮，按照添加转账框顺序进行添加保存，以图发现是否添加转账信息成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","3","",""
"11396","然之(#11)","探索式--现金记账(#370)","","（卖点）探索支出功能","","1. 探索现金记账支出页面的记支出按钮，按照添加支出框顺序进行添加保存，以图发现是否添加支出信息成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11395","然之(#11)","探索式--现金记账(#370)","","（卖点）探索收入功能","","1. 探索现金记账收入页面的记收入按钮，按照添加收入框顺序进行添加保存，以图发现是否添加收入信息成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11394","然之(#11)","探索式--现金记账(#370)","","（指南）探索基本统计报表功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索现金记账的报表页面，按照然之使用说明7.8现金记账的基本统计报表的说明进行操作，以图发现是否生成报表
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11393","然之(#11)","探索式--现金记账(#370)","","（指南）探索对账功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索账户的对账，按照然之使用说明-7.7对账管理-对账的说明进行操作，以图发现对账是否成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11392","然之(#11)","探索式--现金记账(#370)","","（指南）探索账户的登记余额功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索账户的登记余额，按照然之使用说明-7.7对账管理-标记余额的说明进行操作，以图发现余额是否登记成功
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11391","然之(#11)","探索式--现金记账(#370)","","（指南）探索导入账单功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索导入，按照然之使用说明-7.6批量记账和导入-导入账单的说明进行操作，以图发现账单能否导入
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11390","然之(#11)","探索式--现金记账(#370)","","（指南）探索设置的创建导入模板功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索设置的导入模板，按照然之使用说明-7.6批量记账和导入-创建导入模板的说明进行操作，以图发现导入模板能否创建
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11389","然之(#11)","探索式--现金记账(#370)","","（指南）探索批量记账功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索批量记账，按照然之使用说明-7.6批量记账和导入-批量记账的说明进行操作，以图发现批量记账能否执行
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11388","然之(#11)","探索式--现金记账(#370)","","（指南）探索记账管理功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索账目类型页面，按照然之使用说明-7.5记账管理的说明进行操作，以图发现账号能否记录收入、支出、转账、投资、借贷功能
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11386","然之(#11)","探索式--现金记账(#370)","","（指南）探索账户添加账号功能","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索账户页面添加账号，按照然之使用说明-7.3添加账号的说明进行操作，以图发现账号能否正常添加
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
"11385","然之(#11)","探索式--现金记账(#370)","","(指南) 探索基本信息设置","已登录，存在然之使用说明：https://www.ranzhi.org/book/ranzhi/57.html","1. 探索基本信息设置，按照然之使用说明-7.2基本信息设置的说明进行操作，以图发现信息能否正常设置
","1. 
","","","3","其他","","正常","0","1","1","通过","杨凯静","2018-12-12","杨凯静","2018-12-20","2","",""
